fid,סמל ועדה,שם ועדה,סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,מקום קלפי,נגישה,נגישה מיוחדת,בוחרי כנסת בפועל
"1","1",ירושלים,"3000",ירושלים,3,"18","מגן האלף,1 ",סמינר בית יעקב - עטרת חן, , ,"608"
"2","1",ירושלים,"3000",ירושלים,5,"383","שבטי ישראל,27 ",משרד החינוך, , ,"535"
"3","1",ירושלים,"3000",ירושלים,6,"18","מגן האלף,1 ",סמינר בית יעקב - עטרת חן, , ,"690"
"4","1",ירושלים,"3000",ירושלים,9,"18","מגן האלף,1 ",סמינר בית יעקב - עטרת חן, , ,"679"
"5","1",ירושלים,"3000",ירושלים,18,"383","שבטי ישראל,27 ",משרד החינוך, , ,"631"
"6","1",ירושלים,"3000",ירושלים,25,"18","מגן האלף,1 ",סמינר בית יעקב - עטרת חן, , ,"590"
"7","1",ירושלים,"3000",ירושלים,30.1,"74","ירמיהו,5 ",אולפנא צביה לבנות, , ,"658"
"8","1",ירושלים,"3000",ירושלים,30.2,"74","ירמיהו,5 ",אולפנא צביה לבנות, , ,"658"
"9","1",ירושלים,"3000",ירושלים,30.3,"74","ירמיהו,5 ",אולפנא צביה לבנות, , ,"658"
"10","1",ירושלים,"3000",ירושלים,30.4,"74","ירמיהו,5 ",אולפנא צביה לבנות, , ,"658"
"11","1",ירושלים,"3000",ירושלים,30.5,"74","ירמיהו,5 ",אולפנא צביה לבנות, , ,"654"
"12","1",ירושלים,"3000",ירושלים,34,"392","הטורים,23 ",מנהל קהילתי שלוחת מקור ברוך,כ,כ,"584"
"13","1",ירושלים,"3000",ירושלים,38,"18","מגן האלף,1 ",סמינר בית יעקב - עטרת חן, , ,"573"
"14","1",ירושלים,"3000",ירושלים,73.1,"113","אולשוונגר,48 ",בית רחל מינהל קהילתי-קרית יובל, , ,"529"
"15","1",ירושלים,"3000",ירושלים,73.2,"113","אולשוונגר,48 ",בית רחל מינהל קהילתי-קרית יובל, , ,"529"
"16","1",ירושלים,"3000",ירושלים,73.3,"113","אולשוונגר,48 ",בית רחל מינהל קהילתי-קרית יובל, , ,"529"
"17","1",ירושלים,"3000",ירושלים,75,"18","מגן האלף,1 ",סמינר בית יעקב - עטרת חן, , ,"520"
"18","1",ירושלים,"3000",ירושלים,78,"497","שד שרת משה,1 ",בניין המכינה, , ,"415"
"19","1",ירושלים,"3000",ירושלים,85,"65","נרקיס,11 ",מרכז פדגוגי להוראה,כ,כ,"480"
"20","1",ירושלים,"3000",ירושלים,87.1,"90","הקרן הקיימת,14 ",גמנסיה רחביה,כ,כ,"611"
"21","1",ירושלים,"3000",ירושלים,87.2,"90","הקרן הקיימת,14 ",גמנסיה רחביה, , ,"611"
"22","1",ירושלים,"3000",ירושלים,87.3,"90","הקרן הקיימת,14 ",גמנסיה רחביה, , ,"611"
"23","1",ירושלים,"3000",ירושלים,92.1,"100","אלוף שאלתיאל,1 ",בית ברלין ליד בית החייל, , ,"574"
"24","1",ירושלים,"3000",ירושלים,92.2,"100","אלוף שאלתיאל,1 ",בית ברלין ליד בית החייל, , ,"574"
"25","1",ירושלים,"3000",ירושלים,119.1,"398","שבטי ישראל,22 ",מנהל קהילתי מורשה, , ,"647"
"26","1",ירושלים,"3000",ירושלים,119.2,"398","שבטי ישראל,22 ",מנהל קהילתי מורשה, , ,"647"
"27","1",ירושלים,"3000",ירושלים,119.3,"398","שבטי ישראל,22 ",מנהל קהילתי מורשה, , ,"647"
"28","1",ירושלים,"3000",ירושלים,119.4,"398","שבטי ישראל,22 ",מנהל קהילתי מורשה, , ,"647"
"29","1",ירושלים,"3000",ירושלים,119.5,"398","שבטי ישראל,22 ",מנהל קהילתי מורשה, , ,"647"
"30","1",ירושלים,"3000",ירושלים,119.6,"398","שבטי ישראל,22 ",מנהל קהילתי מורשה, , ,"645"
"31","1",ירושלים,"3000",ירושלים,165.1,"92","אוסישקין,38 ",אוולינה דה רוטשילד תיכון ה', , ,"592"
"32","1",ירושלים,"3000",ירושלים,165.2,"92","אוסישקין,38 ",אוולינה דה רוטשילד תיכון ה', , ,"592"
"33","1",ירושלים,"3000",ירושלים,165.3,"92","אוסישקין,38 ",אוולינה דה רוטשילד תיכון ה', , ,"592"
"34","1",ירושלים,"3000",ירושלים,165.4,"92","אוסישקין,38 ",אוולינה דה רוטשילד תיכון ה', , ,"591"
"35","1",ירושלים,"3000",ירושלים,193,"65","נרקיס,11 ",מרכז פדגוגי להוראה, , ,"650"
"36","1",ירושלים,"3000",ירושלים,197,"80","אהל משה,42 ",לב העיר מנהל קהילתי, , ,"530"
"37","1",ירושלים,"3000",ירושלים,198,"80","אהל משה,42 ",לב העיר מנהל קהילתי,כ,כ,"556"
"38","1",ירושלים,"3000",ירושלים,203,"484","שיריזלי,6 ",גן בר אילן, , ,"637"
"39","1",ירושלים,"3000",ירושלים,204,"80","אהל משה,42 ",לב העיר מנהל קהילתי,כ,כ,"560"
"40","1",ירושלים,"3000",ירושלים,206,"484","שיריזלי,6 ",גן בר אילן, , ,"656"
