שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2019,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אבו ג'ווייעד (שבט),967,ABU JUWEI'ID,6,62,623,,,3,,,,,,460,,2040057100,,699,15003711,2019,Abu Juway'ad,
אבו גוש,472,ABU GHOSH,1,11,111,99,444,2,7699,88,70,7611,,280,,2105263481,686,152,10002475,2019,Abu Ghosh,
אבו סנאן,473,ABU SINAN,2,24,245,99,,2,14100,31,10,14069,,270,,2160776284,71,252,10004315,2019,Abu Sinan,
אבו סריחאן (שבט),935,ABU SUREIHAN,6,62,623,,,3,,,,,,460,,1865057450,,699,10001937,2019,Abu Surayhan,
אבו עבדון (שבט),958,ABU  ABDUN,6,62,623,,,3,,,,,,460,,1850057900,,699,10001937,2019,Abu 'Abdun,
אבו עמאר (שבט),1042,ABU  AMMAR,6,62,623,,,3,,,,,,460,,1950056700,,699,15003711,2019,Abu 'Ammar,
אבו עמרה (שבט),932,ABU  AMRE,6,62,623,,,3,,,,,,460,,1850057100,,699,10001937,2019,Abu 'Amra,
אבו קורינאת (יישוב),1342,ABU QUREINAT,6,62,623,68,,2,1904,,,1904,,450,,1963656105,449,624,15003711,2019,Abu Qureinat,610
אבו קורינאת (שבט),968,ABU QUREINAT,6,62,623,,,3,,,,,,460,,1970056000,,699,15003711,2019,Abu Kuraynat,
אבו רובייעה (שבט),966,ABU RUBEI'A,6,62,623,,,3,,,,,,460,,2050057200,,699,10001937,2019,Abu Rubay'a,
אבו רוקייק (שבט),961,ABU RUQAYYEQ,6,62,623,,,3,,,,,,460,,1920056600,,699,15003711,2019,Abu Rukayyek,
אבו תלול,1375,ABU TULUL,6,62,623,68,,2,2023,2,1,2021,,290,,1933456589,388,624,15003711,2019,Abu Tulul                                         ,610
אבטין,652,IBTIN,3,31,311,12,222,2,2835,2,2,2833,,290,,2109174077,47,301,10004207,2019,Ibtin,
אבטליון,1275,AVTALYON,2,24,241,56,,1,468,468,448,,1987,370,10,2332474908,363,205,10004513,2019,Avtalyon,210
אביאל,679,AVI'EL,3,32,324,45,,1,822,822,809,,1949,310,9,1996171533,52,351,10004333,2019,Avi'el,
אביבים,1115,AVIVIM,2,21,212,2,,1,471,471,470,,1960,310,1,2444177707,725,209,10004528,2019,Avivim,211
אביגדור,819,AVIGEDOR,6,61,611,33,143,1,826,826,819,,1950,310,1,1757362428,64,616,10001821,2019,Avigedor,420
אביחיל,175,AVIHAYIL,4,41,411,16,141,1,1422,1422,1375,,1932,310,1,1880869527,37,409,10002089,2019,Avihayil,
אביטל,2052,AVITAL,2,23,234,8,,1,494,494,494,,1953,310,1,2291271816,72,204,10004394,2019,Avital,213
אביעזר,1070,AVI'EZER,1,11,112,26,444,1,875,875,871,,1958,310,2,2016662104,376,151,15000597,2019,Avi'ezer,
אבירים,1220,ABBIRIM,2,24,244,52,,1,263,263,248,,1980,370,19,2271577149,560,255,10004484,2019,Abbirim,212
אבן יהודה,182,EVEN YEHUDA,4,41,411,99,141,1,13826,13824,13609,2,1932,170,,1894468643,36,457,15000060,2019,Even Yehuda,
אבן מנחם,1081,EVEN MENAHEM,2,24,244,52,,1,299,299,298,,1960,310,1,2278177545,604,255,10004302,2019,Even Menahem,212
אבן ספיר,783,EVEN SAPPIR,1,11,111,26,444,1,702,702,691,,1950,310,1,2128463002,608,151,10002521,2019,Even Sappir,
אבן שמואל,400,EVEN SHEMU'EL,6,61,612,34,,1,1807,1807,1805,,1956,350,,1775460940,157,631,10001813,2019,Even Shemu'el,
אבני איתן,4011,AVNE ETAN,2,29,294,71,,1,725,725,725,,1978,310,2,2719674774,380,219,10004579,2019,Avne Etan,211
אבני חפץ,3793,AVNE HEFEZ,7,73,,72,,1,1923,1923,1910,,1990,370,11,2070768795,203,710,15004488,2019,Avne Hefez,
אבנת,3786,AVENAT,7,75,,74,,1,237,237,237,,1983,370,,2414762075,-350,713,10003314,2019,Avenat,710
אבשלום,1311,AVSHALOM,6,62,622,38,,1,298,298,216,,1990,370,10,1361956745,92,651,10001893,2019,Avshalom,620
אדורה,3759,ADORA,7,77,,78,,1,462,462,456,,1984,370,9,2016960665,638,715,15003512,2019,Adora,
אדירים,113,ADDIRIM,2,23,234,8,,1,272,272,271,,1956,310,1,2257871719,71,204,10004394,2019,Addirim,213
אדמית,1068,ADAMIT,2,24,244,4,,1,216,216,186,,1958,330,15,2199777600,449,201,10004302,2019,Adamit,212
אדרת,1123,ADDERET,1,11,112,26,444,1,883,883,883,,1961,310,1,1995861868,430,151,15000597,2019,Adderet,
אודים,446,UDIM,4,41,411,19,141,1,1378,1378,1342,,1948,310,10,1858268581,12,401,15000060,2019,Udim,
אודם,4010,ODEM,2,29,292,71,,1,155,155,152,,1976,320,6,2702878880,1049,219,10004579,2019,Odem,211
אוהד,1046,OHAD,6,62,622,38,,1,407,389,387,18,1969,310,1,1458057199,131,651,10001893,2019,Ohad,620
אום אל-פחם,2710,UMM AL-FAHM,3,32,323,0,,2,56108,44,21,56064,,250,,2145071403,309,354,10004249,2019,Umm al-Fahm,
אום אל-קוטוף,2024,UMM AL-QUTUF,3,32,323,14,,2,1117,,,1117,,450,,2055370835,139,351,10004233,2019,Umm Al-Qutuf,
אום בטין,1358,UMM BATIN,6,62,623,69,342,2,4277,13,12,4264,,290,,1886757656,329,624,10001937,2019,Umm Batin,610
אומן,1108,OMEN,2,23,234,8,,1,387,387,364,,1958,350,,2230271878,65,204,10004394,2019,Omen,213
אומץ,680,OMEZ,4,41,412,16,141,1,849,848,829,1,1949,310,1,1996969743,33,409,15000060,2019,Omez,
אופקים,31,OFAQIM,6,62,622,0,,1,30663,30455,28464,208,1955,160,,1638357979,141,601,10001893,2019,Ofaqim,620
אור הגנוז,1294,OR HAGANUZ,2,21,212,2,,1,574,574,574,,1989,320,11,2421276783,732,209,10004528,2019,Or HaGanuz,211
אור הנר,67,OR HANER,6,61,614,37,,1,768,768,745,,1957,330,15,1620260736,55,651,10001829,2019,Or HaNer,620
אור יהודה,2400,OR YEHUDA,5,52,512,0,122,1,36813,36753,35927,60,1950,160,,1863265962,29,510,10001516,2019,Or Yehuda,
אור עקיבא,1020,OR AQIVA,3,32,324,0,,1,18972,18882,17369,90,1951,170,,1927171271,15,353,10004261,2019,Or Aqiva,
אורה,780,ORA,1,11,111,26,444,1,1314,1310,1257,4,1950,310,1,2145862905,802,151,10002521,2019,Ora,
אורון,1771, ,6,62,626,48,,,,,,,,520,,2014453558,356,620,10001918,2019,,610
אורות,2012,OROT,6,61,611,33,143,1,496,496,491,,1952,310,1,1749262782,50,616,10001821,2019,Orot,420
אורטל,4013,ORTAL,2,29,292,71,,1,343,343,343,,1978,330,15,2712077699,886,219,10004579,2019,Ortal,211
אורים,403,URIM,6,62,622,38,,1,501,500,471,1,1946,330,15,1545457936,94,651,10001893,2019,Urim,620
אורנים,882,ORANIM,3,31,311,12,222,1,178,94,93,84,1951,340,,2104973529,74,301,10004207,2019,Oranim,
אורנית,3760,ORANIT,7,73,,99,145,1,8955,8940,8813,15,1985,180,,1995367087,124,718,15004488,2019,Oranit,710
אושה,278,USHA,3,31,311,12,222,1,533,533,522,,1937,330,15,2110474459,31,301,10004207,2019,Usha,
אזור,565,AZOR,5,53,513,99,123,1,12957,12927,12153,30,1948,170,,1819465899,25,509,10001430,2019,Azor,
"אזור אילון מ""א 4",1852,,2,24,244,4,,,,,,,,530,,2196077510,,,,2019,,212
"אזור אילון מ""א 52",1851,,2,24,244,52,,,,,,,,530,,2266077360,,,,2019,,212
"אזור אילון של""ש",1853,,2,24,244,,,,,,,,,530,,2314076950,,,,2019,,
"אזור אשדוד מ""א 29",1922,,6,61,613,29,,,,,,,,530,,1726063970,,,,2019,,420
"אזור אשדוד מ""א 33",1921,,6,61,613,33,,,,,,,,530,,1649062930,,,,2019,,420
"אזור אשדוד של""ש",1923,,6,61,613,,,,,,,,,530,,1681064050,,,,2019,,
"אזור אשקלון מ""א 36",1924,,6,61,614,36,,,,,,,,530,,1663061620,,,,2019,,
"אזור אשקלון מ""א 37",1926,,6,61,614,37,,,,,,,,530,,1637060210,,,,2019,,620
"אזור באר שבע מ""א 41",1937,,6,62,623,41,,,,,,,,530,,1807058120,,,,2019,,620
"אזור באר שבע מ""א 51",1938,,6,62,623,51,,,,,,,,530,,2240057100,,,,2019,,
"אזור באר שבע של""ש",1939,,6,62,623,,,,,,,,,530,,1974056740,,,,2019,,
"אזור בשור מ""א 38",1933,,6,62,622,38,,,,,,,,530,,1457057060,,,,2019,,620
"אזור בשור מ""א 39",1935,,6,62,622,39,,,,,,,,530,,1505059540,,,,2019,,620
"אזור בשור מ""א 42",1934,,6,62,622,42,,,,,,,,530,,1608057600,,,,2019,,620
"אזור גלילות מ""א 19",1907,,5,51,511,19,,,,,,,,530,,,,,,2019,,
"אזור גרר מ""א 39",1931,,6,62,621,39,,,,,,,,530,,1572058820,,,,2019,,620
"אזור גרר מ""א 41",1929,,6,62,621,41,,,,,,,,530,,1725058920,,,,2019,,620
"אזור גרר מ""א 42",1930,,6,62,621,42,,,,,,,,530,,1679059410,,,,2019,,620
"אזור זכרון יעקב מ""א 15",1866,,3,32,322,15,,,,,,,,530,,2001072840,,,,2019,,
"אזור זכרון יעקב של""ש",1867,,3,32,322,,,,,,,,,530,,2040072880,,,,2019,,
"אזור חדרה מ""א 14",1873,,3,32,324,14,,,,,,,,530,,2012070620,,,,2019,,
"אזור חדרה מ""א 15",1872,,3,32,324,15,,,,,,,,530,,1932070920,,,,2019,,
"אזור חדרה מ""א 45",1871,,3,32,324,45,,,,,,,,530,,1999071630,,,,2019,,
"אזור חדרה של""ש",1874,,3,32,324,,,,,,,,,530,,2029069980,,,,2019,,
"אזור חולון של""ש",1909,,5,53,513,,,,,,,,,530,,1817066000,,,,2019,,
"אזור חיפה מ""א 12",1860,,3,31,311,12,,,,,,,,530,,2104074200,,,,2019,,
"אזור חיפה של""ש",1862,,3,31,311,,,,,,,,,530,,2088073220,,,,2019,,
"אזור חצור מ""א 1",1813,,2,21,213,1,,,,,,,,530,,2545075990,,,,2019,,211
"אזור חצור מ""א 55",1814,,2,21,213,55,,,,,,,,530,,2584076640,,,,2019,,211
"אזור חצור של""ש",1815,,2,21,213,,,,,,,,,530,,2549076740,,,,2019,,
"אזור יחיעם מ""א 2",1848,,2,24,243,2,,,,,,,,530,,2386075990,,,,2019,,211
"אזור יחיעם מ""א 4",1846,,2,24,243,4,,,,,,,,530,,2180076770,,,,2019,,212
"אזור יחיעם מ""א 52",1847,,2,24,243,52,,,,,,,,530,,2283076610,,,,2019,,212
"אזור יחיעם מ""א 56",1849,,2,24,243,56,,,,,,,,530,,2214075970,,,,2019,,210
"אזור יחיעם של""ש",1850,,2,24,243,,,,,,,,,530,,2325076540,,,,2019,,
"אזור ים המלח מ""א 51",1942,,6,62,624,51,,,,,,,,530,,2340056200,,,,2019,,
"אזור יקנעם מ""א 13",1836,,2,23,235,13,,,,,,,,530,,2121072800,,,,2019,,213
"אזור יקנעם מ""א 9",1835,,2,23,235,9,,,,,,,,530,,2115073310,,,,2019,,213
"אזור כינרות מ""א 3",1805,,2,22,221,3,,,,,,,,530,,2481074680,,,,2019,,214
"אזור כנרות מ""א 1",1816,,2,22,221,1,,,,,,,,530,,2528075660,,,,2019,,211
"אזור כנרות מ""א 6",1817,,2,22,221,6,,,,,,,,530,,2610074110,,,,2019,,214
"אזור כנרות של""ש",1818,,2,22,221,,,,,,,,,530,,,0,,,2019,,
"אזור כרמיאל מ""א 2",1843,,2,24,242,2,,,,,,,,530,,2339075980,,,,2019,,211
"אזור כרמיאל מ""א 56",1844,,2,24,242,56,,,,,,,,530,,2327075530,,,,2019,,210
"אזור כרמיאל של""ש",1845,,2,24,242,,,,,,,,,530,,2369075930,,,,2019,,
"אזור לכיש מ""א 34",1919,,6,61,612,34,,,,,,,,530,,1769061100,,,,2019,,
"אזור לכיש מ""א 35",1917,,6,61,612,35,,,,,,,,530,,1870061370,,,,2019,,420
"אזור לכיש מ""א 41",1920,,6,61,612,41,,,,,,,,530,,1888059260,,,,2019,,620
"אזור לכיש מ""א 50",1918,,6,61,612,50,,,,,,,,530,,1836060440,,,,2019,,
"אזור מודיעין מ""א 25",1887,,4,43,431,25,,,,,,,,530,,2311074610,,,,2019,,
"אזור מודיעין מ""א 30",1890,,4,43,431,30,,,,,,,,530,,2010069770,,,,2019,,
"אזור מודיעין של""ש",1895,,4,43,431,,,,,,,,,530,,1833067310,,,,2019,,
"אזור מלאכי מ""א 33",1911,,6,61,611,33,,,,,,,,530,,1755063200,,,,2019,,420
"אזור מלאכי מ""א 34",1915,,6,61,611,34,,,,,,,,530,,1766062160,,,,2019,,
"אזור מלאכי מ""א 35",1913,,6,61,611,35,,,,,,,,530,,1816062200,,,,2019,,420
"אזור מלאכי מ""א 50",1914,,6,61,611,50,,,,,,,,530,,1780061800,,,,2019,,
"אזור נהרייה מ""א 4",1855,,2,24,245,4,,,,,,,,530,,2125076910,,,,2019,,212
"אזור נהרייה של""ש",1856,,2,24,245,,,,,,,,,530,,2131076190,,,,2019,,
"אזור עכו מ""א 4",1858,,2,24,246,4,,,,,,,,530,,2128075480,,,,2019,,212
"אזור עכו מ""א 56",1857,,2,24,246,56,,,,,,,,530,,2128075670,,,,2019,,210
"אזור עכו של""ש",1859,,2,24,246,,,,,,,,,530,,2127075860,,,,2019,,
"אזור פתח תקווה מ""א 20",1888,,4,42,422,20,,,,,,,,530,,1933066570,,,,2019,,
"אזור פתח תקווה מ""א 25",1886,,4,42,422,25,,,,,,,,530,,1984065740,,,,2019,,
"אזור פתח תקווה של""ש",1889,,4,42,422,,,,,,,,,530,,1921066200,,,,2019,,
"אזור ראשל""צ מ""א 27",1903,,4,44,442,27,,,,,,,,530,,1753064760,,,,2019,,
"אזור ראשל""צ של""ש",1904,,4,44,442,,,,,,,,,530,,1755065150,,,,2019,,
"אזור רחובות מ""א 28",1896,,4,44,441,28,,,,,,,,530,,1803064000,,,,2019,,420
"אזור רחובות מ""א 29",1899,,4,44,441,29,,,,,,,,530,,1721063800,,,,2019,,420
"אזור רחובות מ""א 30",1898,,4,44,441,30,,,,,,,,530,,1843064140,,,,2019,,
"אזור רחובות מ""א 31",1901,,4,44,441,31,,,,,,,,530,,1832063450,,,,2019,,420
"אזור רחובות מ""א 32",1897,,4,44,441,32,,,,,,,,530,,1745063800,,,,2019,,
"אזור רחובות של""ש",1902,,4,44,441,,,,,,,,,530,,1721064500,,,,2019,,
"אזור רמלה מ""א 25",1892,,4,43,432,25,,,,,,,,530,,,,,,2019,,
"אזור רמלה מ""א 30",1891,,4,43,432,30,,,,,,,,530,,1891064330,,,,2019,,
"אזור רמלה מ""א 40",1893,,4,43,432,40,,,,,,,,530,,1865065340,,,,2019,,
"אזור רמלה של""ש",1894,,4,43,432,,,,,,,,,530,,1850065140,,,,2019,,
"אזור רמת גן של""ש",1908,,5,52,512,,,,,,,,,530,,1864066110,,,,2019,,
"אזור שפרעם מ""א 56",1841,,2,24,241,56,,,,,,,,530,,2266075010,,,,2019,,210
"אזור שפרעם מ""א 9",1840,,2,24,241,9,,,,,,,,530,,2179074200,,,,2019,,213
"אזור שפרעם של""ש",1842,,2,24,241,,,,,,,,,530,,2183074930,,,,2019,,210
"אזור תל אביב של""ש",1905,,5,51,511,,,,,,,,,530,,,,,,2019,,
אזור תעסוקה משגב(תרדיון),1724, ,2,24,241,56,241,,,,,,,520,,2258875248,286,205,10004513,2019,,210
"אזור תעשיה אכסאל מ""א 9",1865,,2,23,234,9,,,,,,,,530,,2325072360,,,,2019,,213
אזור תעשייה אכזיב (מילואות),1726, ,2,24,245,4,241,,,,,,,520,,2105377463,9,201,10004302,2019,,212
אזור תעשייה נעמן (מילואות),1727, ,2,24,246,4,241,,,,,,,520,,2091475412,7,201,10004315,2019,,212
אחווה,1157,AHAWA,6,61,611,33,143,1,303,303,294,,1976,350,,1782062796,61,616,10001821,2019,Ahawa,420
אחוזם,821,AHUZZAM,6,61,612,50,,1,548,542,525,6,1950,310,2,1782260687,169,634,10001813,2019,Ahuzzam,
אחוזת ברק,1330,AHUZZAT BARAQ,2,23,234,9,,1,2279,2279,2217,,1998,190,19,2320072762,156,254,10004394,2019,Ahuzzat Baraq,213
