סמל ועדה,שם ישוב,סמל ישוב
6,אבירים,1220
5,אדירים,113
8,אושה,278
17,אחווה,1157
17,איבים,338
9,אלעריאן,1316
4,אלומות,330
9,אלוני יצחק,868
4,אליעד,4002
4,אלמגור,1125
4,אמנון,1253
17,אמציה,23
4,אפיק,4301
17,אשדוד,70
18,אשל הנשיא,2021
17,אשקלון,7100
9,בית אורן,317
17,בית גוברין,619
5,בית זיד,353
13,בית עובד,202
9,בית צבי,212
13,בית רבן,848
5,ברק,141
18,גבעולים,2014
19,גבעת חן,207
5,גדעונה,442
13,גיבתון,196
2,גיזו,1043
19,גני עם,218
4,גשור,4022
5,דבורה,146
18,הר עמשא,1261
2,הראל,464
17,ורדון,1133
18,זרועה,2064
9,חרמש,3717
4,טבריה,6700
4,טפחות,1214
2,יד השמונה,1134
19,ירקונה,183
4,כלנית,1229
4,כנף,4028
2,כסלון,859
5,כפר גדעון,106
9,כפר גליקסון,310
8,כפר המכבי,254
17,כפר סילבר,107
12,כפר רות,1166
13,כרם יבנה ישיבה,1094
17,כרמי קטיף,1374
18,כרמל,3656
4,לבנים,1230
6,לפידות,1173
9,מאיר שפיה,102
12,מבוא מודיעים,1141
2,מגדל עוז,3561
13,מחנה הילה,1411
5,מחנה יהודית,1413
18,מחנה יפה,1415
17,מחנה מרים,1414
2,מחסיה,776
9,מי עמי,1128
4,מיצר,4019
18,מלילות,2044
4,מעגן,678
18,מעון,3657
4,מצפה,58
16,מקווה ישראל,22
2,נגוהות,3724
2,נווה שלום,1259
17,נועם,15
5,נורית,833
17,נטע,1369
13,נצר חזני,1372
6,סואעד חמרייה,942
2,עגור,794
2,עטרת,3658
13,עיינות,156
9,עין חוד,1320
18,פדויים,750
4,פוריה  כפר עבודה,1104
2,פני חבר,3723
6,פקיעין חדשה,281
6,צוריאל,774
17,קוממיות,766
18,רתמים,1260
2,שדות מיכה,27
17,שדרות,1031
18,שוקדה,415
18,שיבולים,865
17,שקף,1233
18,שרשרת,398
18,תאשור,2062
18,תושיה,1083
2,תירוש,10
4,תל קציר,719
9,תלמי אלעזר,2003
2,אדורה,3759
18,אופקים,31
3,אור הגנוז,1294
5,אחוזת ברק,1330
18,אילת,2600
17,איתן,37
5,אכסאל,478
18,אליפז,1248
18,באר מילכה,1278
18,באר שבע,9000
5,בועיינהנוגידאת,482
12,בית חשמונאי,1050
9,בסמה,1326
9,גסר אזרקא,541
17,גבעתי,793
5,גדיש,145
12,גזר,370
11,גני תקווה,229
11,גת רימון,128
5,דבוריה,489
5,דברת,407
5,דחי,475
18,דימונה,2200
5,חבר,1110
2,חברון,3400
9,חדרה,6500
19,חורשים,355
7,חיפה,4000
4,חמאם,993
5,טורעאן,498
18,יהל,1158
18,יטבתה,866
17,ינון,2011
3,כדיתה,1338
8,כפר חסידים ב,889
12,לוד,7000
9,מבוא דותן,3569
4,מגאר,481
12,מודיעין עילית,3797
18,מחנה יוכבד,1416
17,מנוחה,2030
17,מפלסים,668
9,מצפה אילן,1370
5,נאעורה,524
17,נחל עוז,844
2,נחליאל,3767
18,ניצני סיני,1280
18,נתיבות,246
5,עין חרוד מאוחד,82
3,עין קנייא,4502
3,עמוקה,1212
5,עפולה,7700
18,ערד,2560
9,ערערה,637
9,פוריידיס,537
18,פטיש,749
5,פרזון,2053
11,פתח תקווה,7900
3,צבעון,1213
2,צפרירים,1079
3,קדרים,1211
8,קרית אתא,6800
8,קרית ביאליק,9500
17,קרית גת,2630
17,קרית מלאכי,1034
2,קרית ענבים,78
13,ראשון לציון,8300
18,רהט,1161
13,רחובות,8400
9,ריחן,3568
18,שחרות,1266
2,אבו גוש,472
3,אביבים,1115
5,אביטל,2052
3,אודם,4010
9,אור עקיבא,1020
18,אילות,1126
11,אלעד,1309
2,אפרת,3650
2,בית שמש,2610
2,ביתר עילית,3780
12,בן שמן כפר נוער,1084
9,בנימינהגבעת עדה,9800
5,בסמת טבעון,944
16,בת ים,6200
2,גבע בנימין,3763
11,גבעת שמואל,681
5,גזית,457
13,גן הדרום,1072
2,גפן,39
18,גרופית,1129
3,דישון,2063
19,הוד השרון,9700
18,הוזייל שבט,956
5,זרזיר,975
13,חפץ חיים,363
3,יסוד המעלה,29
1,ירושלים,3000
18,כמהין,1291
13,כפר בילו,177
8,כפר גלים,427
3,כפר הנשיא,443
8,כפר חסידים א,112
4,כפר כמא,508
19,כפר מלל,98
19,כפר סבא,6900
11,כפר סירקין,249
2,כפר עציון,3488
3,כפר שמאי,605
