semel_yeshuv,shem_yeshuv
"3000",ירושלים
"127",רמת רחל
"1070",אביעזר
"783",אבן ספיר
"3759",אדורה
"1123",אדרת
"780",אורה
"3604",אלון שבות
"3556",אלמוג
"3618",אלעזר
"3754",אספר
"3650",אפרת
"740",אשתאול
"3574",בית אל
"3645",בית הערבה
"710",בית זית
"751",בית מאיר
"672",בית נקופה
"2610",בית שמש
"3780",ביתר עילית
"864",בקוע
"823",בר גיורא
"3794",בת עין
"3763",גבע בנימין
"3644",גבעון החדשה
"3730",גבעת זאב
"787",גבעת יערים
"919",גבעת ישעיהו
"1043",גיזו
"3606",גלגל
"39",גפן
"3603",הר גילה
"464",הראל
"3639",ורד יריחו
"799",זכריה
"816",זנוח
"3400",חברון
"3764",חגי
"3788",טלמון
"1134",יד השמונה
"805",ישעי
"3564",כוכב השחר
"3779",כוכב יעקב
"859",כסלון
"3638",כפר אדומים
"364",כפר אוריה
"3488",כפר עציון
"3766",כרמי צור
"52",לוזית
"771",מבוא ביתר
"1015",מבשרת ציון
"3561",מגדל עוז
"208",מוצא עילית
"776",מחסיה
"822",מטע
"742",מסילת ציון
"3616",מעלה אדומים
"286",מעלה החמישה
"3752",מעלה לבונה
"3651",מעלה מכמש
"3576",מצפה יריחו
"3610",מצפה שלם
"3724",נגוהות
"3573",נוה צוף
"405",נווה אילן
"3725",נווה דניאל
"1071",נווה מיכאל
"1259",נווה שלום
"3726",נוקדים
"59",נחושה
"3767",נחליאל
"809",נחם
"777",נחשון
"1254",נטף
"825",נס הרים
"3555",נתיב הגדוד
"794",עגור
"3617",עופרה
"3658",עטרת
"3715",עלמון
"3824",עמיחי
"779",עמינדב
"3723",פני חבר
"3659",פסגות
"465",צובה
"796",צלפון
"1079",צפרירים
"567",צרעה
"3781",קדר
"3601",קליה
"1137",קרית יערים
"78",קרית ענבים
"3602",ראש צורים
"3565",רימונים
"460",רמת רזיאל
"27",שדות מיכה
"741",שואבה
"456",שורש
"3641",שילה
"1114",שריגים (לי-און)
"3558",תומר
"10",תירוש
"3719",תלם
"752",תעוז
"778",תרום
"1115",אביבים
"4010",אודם
"1294",אור הגנוז
"4013",אורטל
"77",איילת השחר
"4003",אל-רום
"4017",אלוני הבשן
"730",אליפלט
"1064",אמירים
"368",ביריה
"322",בית הלל
"1191",בר יוחאי
"667",ברעם
"35",גדות
"852",גונן
"2063",דישון
"431",דלתון
"303",דן
"302",דפנה
"356",הגושרים
"253",חולתה
"1047",חזון
"2034",חצור הגלילית
"2009",יובל
"453",יפתח
"623",יראון
"1338",כדיתה
"1252",כורזים
"1210",כחל
"357",כפר בלום
"76",כפר גלעדי
"443",כפר הנשיא
"609",כפר חושן
"1297",כפר חנניה
"345",כפר סאלד
"605",כפר שמאי
"1285",כרכום
"664",כרם בן זמרה
"380",להבות הבשן
"4201",מג'דל שמס
"308",מחניים
"43",מטולה
"607",מירון
"596",מלכיה
"347",מנרה
"4203",מסעדה
"416",מעין ברוך
"843",מרגליות
"4101",מרום גולן
"378",משגב עם
"732",משמר הירדן
"408",נאות מרדכי
"578",סאסא
"4501",ע'ג'ר
"4502",עין קנייא
"688",עלמה
"1212",עמוקה
"385",עמיעד
"319",עמיר
"599",פרוד
"1213",צבעון
"8000",צפת
"4025",קדמת צבי
"1211",קדרים
"4024",קלע
"4100",קצרין
"4006",קשת
"540",ריחאניה
"372",רמות נפתלי
"324",שאר ישוב
"861",שדה אליעזר
"329",שדה נחמיה
"366",שמיר
"1132",שניר
"4009",שעל
"846",שפר
"4011",אבני איתן
"49",אילניה
"330",אלומות
"4002",אלי-עד
"1125",אלמגור
"1253",אמנון
"4012",אניעם
"4301",אפיק
"176",אפיקים
"701",ארבל
"199",אשדות יעקב  (איחוד)
"188",אשדות יעקב  (מאוחד)
"143",בית זרע
"365",בית קשת
"4015",בני יהודה
"1293",גבעת אבני
"4021",גבעת יואב
"262",גינוסר
"4022",גשור
"305",גשר
"62",דגניה א'
"79",דגניה ב'
"702",האון
"307",הזורעים
"4026",חד-נס
"374",חוקוק
"993",חמאם
"4005",חספין
"6700",טבריה
"46",יבנאל
"4007",יונתן
"1229",כלנית
"4028",כנף
"63",כנרת (מושבה)
"57",כנרת (קבוצה)
"786",כפר זיתים
"255",כפר חיטים
